UNIT_NUMBER,S1,S2,S3,S4,S5
1,518.67,641.82,1589.7,1400.6,14.62
1,518.67,642.15,1591.82,1403.14,14.62
1,518.67,642.35,1587.99,1404.2,14.62
1,518.67,642.35,1582.79,1401.87,14.62
1,518.67,642.37,1582.85,1406.22,14.62
1,518.67,642.1,1584.47,1398.37,14.62
1,518.67,642.48,1592.32,1397.77,14.62
1,518.67,642.56,1582.96,1400.97,14.62
1,518.67,642.12,1590.98,1394.8,14.62
1,518.67,641.71,1591.24,1400.46,14.62
1,518.67,642.28,1581.75,1400.64,14.62
1,518.67,642.06,1583.41,1400.15,14.62
1,518.67,643.07,1582.19,1400.83,14.62
1,518.67,642.35,1592.95,1399.16,14.62
1,518.67,642.43,1583.82,1402.13,14.62
1,518.67,642.13,1587.98,1404.5,14.62
1,518.67,642.58,1584.96,1399.95,14.62
1,518.67,642.62,1591.04,1396.12,14.62
1,518.67,641.79,1587.56,1400.35,14.62
1,518.67,643.04,1581.11,1405.23,14.62
1,518.67,642.37,1586.07,1398.13,14.62
1,518.67,642.77,1592.93,1400.57,14.62
1,518.67,642.14,1588.19,1394.75,14.62
1,518.67,642.38,1590.83,1398.81,14.62
1,518.67,642.77,1594.1,1399.39,14.62
1,518.67,642.16,1589.08,1396.07,14.62
1,518.67,642.44,1590.47,1401.84,14.62
1,518.67,642.35,1582.84,1399.13,14.62
1,518.67,641.91,1584.83,1400.99,14.62
1,518.67,642.2,1593.52,1396.08,14.62
1,518.67,642.02,1584.18,1396.9,14.62
1,518.67,642.33,1591.38,1400.36,14.62
1,518.67,642.71,1588.4,1402.43,14.62
1,518.67,642.54,1581.47,1400.48,14.62
1,518.67,642.44,1590,1403,14.62
1,518.67,642.54,1581.72,1405.54,14.62
1,518.67,641.99,1579.11,1398.9,14.62
1,518.67,641.93,1589.6,1399.5,14.62
1,518.67,642.01,1583.21,1400.69,14.62
1,518.67,642.24,1582.08,1401.77,14.62
1,518.67,642.4,1591.31,1403.21,14.62
1,518.67,642.12,1584.66,1401.38,14.62
1,518.67,642.24,1591.52,1406.05,14.62
1,518.67,641.93,1586.94,1401.2,14.62
1,518.67,642.53,1582.42,1399.16,14.62
1,518.67,642.43,1588.29,1401.27,14.62
1,518.67,642.21,1580.32,1402.89,14.62
1,518.67,641.89,1588.51,1399.16,14.62
1,518.67,642.23,1584.35,1397.76,14.62
1,518.67,642.77,1588.49,1403.62,14.62
1,518.67,642.81,1585.54,1400.42,14.62
1,518.67,642.76,1583.77,1395.57,14.62
1,518.67,642.61,1579.82,1402.26,14.62
1,518.67,642.42,1592.59,1401.2,14.62
1,518.67,642.41,1584.95,1401.58,14.62
1,518.67,642.49,1586.33,1400.76,14.62
1,518.67,642.13,1583.67,1402.79,14.62
1,518.67,641.9,1590.46,1397.99,14.62
1,518.67,642.33,1596.72,1403.51,14.62
1,518.67,642.34,1582.75,1403.07,14.62
1,518.67,642.1,1583.55,1405.52,14.62
1,518.67,642.17,1581.59,1399.54,14.62
1,518.67,642.6,1592.14,1395.38,14.62
1,518.67,642.23,1584.51,1400.11,14.62
1,518.67,642.28,1584.72,1403.24,14.62
1,518.67,642.5,1588.5,1399.52,14.62
1,518.67,642.33,1590.22,1403.02,14.62
1,518.67,642.51,1582.06,1404.42,14.62
1,518.67,642.44,1590.7,1401.24,14.62
1,518.67,642.22,1584.02,1402.78,14.62
1,518.67,642.21,1580.41,1403.09,14.62
1,518.67,642.41,1579.25,1406.81,14.62
1,518.67,642.29,1592.04,1397.93,14.62
1,518.67,642.96,1584.65,1401.48,14.62
1,518.67,641.96,1582.32,1394.82,14.62
1,518.67,642.21,1589.21,1398.94,14.62
1,518.67,642.55,1586.3,1400.97,14.62
1,518.67,641.99,1580.76,1404.1,14.62
1,518.67,642.12,1582.46,1403.93,14.62
1,518.67,641.94,1591.96,1393.58,14.62
1,518.67,642.73,1584.82,1402.04,14.62
1,518.67,642.04,1589.07,1399.17,14.62
1,518.67,642.66,1588.05,1406.38,14.62
1,518.67,642.64,1585.52,1406.6,14.62
1,518.67,642.28,1590.12,1405.96,14.62
1,518.67,641.84,1588.8,1403.56,14.62
1,518.67,642.33,1586.69,1413.1,14.62
1,518.67,641.96,1581.29,1406.09,14.62
1,518.67,642.24,1584.73,1402.22,14.62
1,518.67,642.67,1584.38,1412.93,14.62
1,518.67,641.98,1584.84,1404.76,14.62
1,518.67,642.89,1590.03,1400.77,14.62
1,518.67,642.85,1593.74,1408.48,14.62
1,518.67,642.45,1583.27,1404.94,14.62
1,518.67,642.86,1577.6,1410.1,14.62
1,518.67,642.19,1584.07,1395.16,14.62
1,518.67,642.07,1595.77,1407.81,14.62
1,518.67,642,1591.11,1404.56,14.62
1,518.67,642.46,1592.73,1406.13,14.62
1,518.67,642.22,1589.63,1411.35,14.62
1,518.67,642.75,1584.18,1403.41,14.62
1,518.67,642.85,1589.11,1403.42,14.62
1,518.67,642.21,1581.27,1403.21,14.62
1,518.67,642.29,1590.63,1406.25,14.62
1,518.67,642.01,1588.28,1403.22,14.62
1,518.67,642.68,1589.05,1404.45,14.62
1,518.67,642.53,1595.13,1407.73,14.62
1,518.67,643.49,1585.91,1399.47,14.62
1,518.67,642.49,1586.45,1409.1,14.62
1,518.67,642.55,1590.01,1401.27,14.62
1,518.67,642.67,1584.38,1408.11,14.62
1,518.67,642.66,1586.46,1401.84,14.62
1,518.67,642.68,1590.85,1406.59,14.62
1,518.67,642.31,1588.42,1402.97,14.62
1,518.67,642.66,1594.84,1406.6,14.62
1,518.67,642.64,1580.31,1401.99,14.62
1,518.67,642.38,1589.77,1409.35,14.62
1,518.67,642.34,1585.67,1409.34,14.62
1,518.67,642.67,1596.8,1404.46,14.62
1,518.67,642.81,1593.78,1407.68,14.62
1,518.67,642.63,1593.56,1411.9,14.62
1,518.67,643.3,1593.68,1413.97,14.62
1,518.67,643.39,1586.66,1403.04,14.62
1,518.67,642.48,1587.14,1402.28,14.62
1,518.67,642.96,1585.47,1406.42,14.62
1,518.67,642.49,1582.64,1418.5,14.62
1,518.67,642.99,1586.9,1399.49,14.62
1,518.67,642.47,1593.87,1407.06,14.62
1,518.67,642.41,1591.33,1408.42,14.62
1,518.67,642.7,1585.9,1412.25,14.62
