UNIT_NUMBER,S1,S2,S3,S4,S5
4,518.67,642.6,1585.4,1402.85,14.62
4,518.67,642.45,1583.54,1410.36,14.62
4,518.67,642.16,1586.59,1398.65,14.62
4,518.67,642.73,1583.96,1400.32,14.62
4,518.67,642.11,1590.62,1399.42,14.62
4,518.67,642.46,1588.76,1407.78,14.62
4,518.67,642.26,1586.91,1404.44,14.62
4,518.67,641.97,1584.18,1406.22,14.62
4,518.67,642.59,1584.78,1403.51,14.62
4,518.67,642.78,1586,1400.12,14.62
4,518.67,642.21,1588.75,1395.79,14.62
4,518.67,642.63,1584.33,1403.67,14.62
4,518.67,642.24,1587.74,1395.23,14.62
4,518.67,642.62,1583.38,1407.62,14.62
4,518.67,642.47,1592.08,1401.13,14.62
4,518.67,642.17,1585.39,1409.84,14.62
4,518.67,642.06,1587.82,1406.43,14.62
4,518.67,642.36,1589.62,1403.75,14.62
4,518.67,643.02,1589.9,1406.34,14.62
4,518.67,642.53,1589.76,1401.19,14.62
4,518.67,642.49,1593.11,1398.49,14.62
4,518.67,642.68,1594.65,1405.05,14.62
4,518.67,642.41,1592.74,1401.8,14.62
4,518.67,642.51,1589.01,1400.24,14.62
4,518.67,642.05,1592.65,1399.14,14.62
4,518.67,642.35,1589.28,1399.54,14.62
4,518.67,642.08,1582.09,1402.27,14.62
4,518.67,642.59,1583.69,1400.85,14.62
4,518.67,642.34,1585.53,1401.61,14.62
4,518.67,642.7,1584.4,1403.21,14.62
4,518.67,642.42,1580.87,1400.49,14.62
4,518.67,642.1,1589.33,1406.42,14.62
4,518.67,642.79,1590.98,1405.72,14.62
4,518.67,642.29,1587.97,1396.73,14.62
4,518.67,642.42,1587.89,1398.89,14.62
4,518.67,642.08,1589.48,1406.77,14.62
4,518.67,642.62,1582.75,1411.83,14.62
4,518.67,642.69,1591.19,1400.63,14.62
4,518.67,642.14,1581.05,1406.06,14.62
4,518.67,642.77,1596.22,1407.38,14.62
4,518.67,642.44,1588.31,1403.4,14.62
4,518.67,642.62,1587,1401.08,14.62
4,518.67,642.12,1589.99,1407.47,14.62
4,518.67,641.81,1585.87,1403.08,14.62
4,518.67,642.58,1587.46,1403.12,14.62
4,518.67,642.99,1584.18,1415.57,14.62
4,518.67,642.15,1591.57,1409.99,14.62
4,518.67,642.33,1586.8,1405.17,14.62
4,518.67,642.82,1590.52,1408.42,14.62
4,518.67,642.05,1586.99,1403.54,14.62
4,518.67,642.3,1584.29,1407.61,14.62
4,518.67,642.82,1593.22,1407.67,14.62
4,518.67,642.41,1586.77,1407.4,14.62
4,518.67,642.54,1592.6,1405.04,14.62
4,518.67,642.02,1587.01,1406.46,14.62
4,518.67,642.8,1594.24,1403.34,14.62
4,518.67,642.3,1585.96,1404,14.62
4,518.67,642.66,1590.94,1405.24,14.62
4,518.67,642.32,1600.12,1398.12,14.62
4,518.67,642.31,1576.64,1404.66,14.62
4,518.67,642.56,1587.51,1407.15,14.62
