UNIT_NUMBER,S1,S2,S3,S4,S5
3,518.67,642.04,1584.2,1398.13,14.62
3,518.67,642.66,1587.04,1398.62,14.62
3,518.67,642.07,1580.75,1401.1,14.62
3,518.67,642.5,1580.12,1395.76,14.62
3,518.67,641.97,1581.48,1394.05,14.62
3,518.67,642.65,1581.26,1397.98,14.62
3,518.67,642.62,1583.68,1405.76,14.62
3,518.67,642.23,1581.6,1401.86,14.62
3,518.67,642.6,1581.04,1398.3,14.62
3,518.67,642.72,1582.2,1400.07,14.62
3,518.67,641.94,1591.43,1400.59,14.62
3,518.67,642.61,1583.92,1404.93,14.62
3,518.67,642.63,1583.25,1403.52,14.62
3,518.67,642.16,1591.03,1396.35,14.62
3,518.67,641.83,1585.29,1398.77,14.62
3,518.67,642.65,1589.05,1392.15,14.62
3,518.67,642.78,1588.94,1395.76,14.62
3,518.67,642.26,1584.36,1402.3,14.62
3,518.67,642.05,1580.67,1402.82,14.62
3,518.67,642.25,1580.73,1394.57,14.62
3,518.67,642.18,1586.78,1398.83,14.62
3,518.67,642.34,1589.55,1405.28,14.62
3,518.67,642.07,1585.2,1395.59,14.62
3,518.67,642.24,1585.08,1395.73,14.62
3,518.67,642.24,1579.4,1390.93,14.62
3,518.67,641.61,1586.92,1401.63,14.62
3,518.67,642.36,1581.83,1400.85,14.62
3,518.67,641.48,1590.59,1400.68,14.62
3,518.67,642.01,1584.71,1396.05,14.62
3,518.67,642.21,1584.95,1398.1,14.62
3,518.67,642.33,1588.68,1393.95,14.62
3,518.67,642.55,1583.7,1400.58,14.62
3,518.67,641.82,1583.55,1403.93,14.62
3,518.67,642.83,1584.17,1397.47,14.62
3,518.67,642.08,1584.57,1396.92,14.62
3,518.67,642.06,1580.96,1399.12,14.62
3,518.67,641.68,1582.96,1396.65,14.62
3,518.67,641.72,1577.99,1401.83,14.62
3,518.67,641.94,1580.42,1400.8,14.62
3,518.67,641.97,1579.38,1403.24,14.62
3,518.67,642.79,1586.38,1394.92,14.62
3,518.67,642.61,1586.25,1404.49,14.62
3,518.67,642.58,1587.9,1401.51,14.62
3,518.67,642.21,1586.83,1395.48,14.62
3,518.67,642.15,1582.99,1398.33,14.62
3,518.67,642.42,1590.25,1401.55,14.62
3,518.67,642.26,1587.55,1395.3,14.62
3,518.67,642.01,1587.21,1392.94,14.62
3,518.67,642.16,1583.53,1396.11,14.62
3,518.67,642.51,1586.16,1402.64,14.62
3,518.67,642.39,1592.16,1401.05,14.62
3,518.67,642.29,1582.66,1404.99,14.62
3,518.67,642.02,1588.04,1399.78,14.62
3,518.67,642.03,1585.66,1407.04,14.62
3,518.67,642.41,1594.2,1399.08,14.62
3,518.67,642.73,1586.08,1403.97,14.62
3,518.67,642.56,1581.97,1398.55,14.62
3,518.67,642.52,1581.31,1403.99,14.62
3,518.67,642.31,1587.46,1397.56,14.62
3,518.67,641.8,1586.82,1405.66,14.62
3,518.67,642.5,1585.5,1392.35,14.62
3,518.67,642.18,1591.5,1403.57,14.62
3,518.67,642.1,1583.42,1398.98,14.62
3,518.67,642.53,1590.04,1404.68,14.62
3,518.67,641.69,1586.21,1400.69,14.62
3,518.67,642.25,1577.22,1397.9,14.62
3,518.67,642,1584.55,1403.87,14.62
3,518.67,642.94,1587.27,1400.37,14.62
3,518.67,642.05,1581.93,1404.2,14.62
3,518.67,642.54,1587.02,1397.09,14.62
3,518.67,642.9,1579.41,1401.19,14.62
3,518.67,642.25,1590.21,1389.86,14.62
3,518.67,642.42,1585.01,1400.06,14.62
3,518.67,642.75,1589.64,1405.76,14.62
3,518.67,642.25,1592.23,1406.98,14.62
3,518.67,642.52,1589.35,1405.34,14.62
3,518.67,642.98,1584.13,1405.99,14.62
3,518.67,642.43,1579.52,1400.53,14.62
3,518.67,642.31,1582.4,1403.49,14.62
3,518.67,641.74,1580.95,1405.37,14.62
3,518.67,642.55,1581.73,1402.65,14.62
3,518.67,642.24,1583.69,1400.4,14.62
3,518.67,642.27,1591.3,1398.73,14.62
3,518.67,642.18,1593.32,1400.62,14.62
3,518.67,641.95,1587.14,1414.11,14.62
3,518.67,642.69,1586.09,1401.01,14.62
3,518.67,642.32,1588.25,1402.17,14.62
3,518.67,642.27,1585.9,1400.09,14.62
3,518.67,642.33,1582.29,1404.14,14.62
3,518.67,642.36,1597.84,1406.26,14.62
3,518.67,641.99,1582.81,1399.5,14.62
3,518.67,642.29,1590.07,1400.27,14.62
3,518.67,642.1,1593.66,1409.21,14.62
3,518.67,642.58,1588.9,1401.08,14.62
3,518.67,642.37,1585.69,1406.13,14.62
3,518.67,642.89,1582.86,1400.62,14.62
3,518.67,642.94,1587.51,1408.05,14.62
3,518.67,642.4,1586.19,1403.62,14.62
3,518.67,642.67,1589.42,1398.72,14.62
3,518.67,642.29,1579.98,1404.16,14.62
3,518.67,642.24,1587.77,1405.55,14.62
3,518.67,642.63,1579.35,1408.84,14.62
3,518.67,642.28,1585.62,1395.4,14.62
3,518.67,642.46,1586.74,1403.37,14.62
3,518.67,641.85,1591.89,1397.73,14.62
3,518.67,642.51,1586.44,1405.62,14.62
3,518.67,642.36,1586.96,1410.67,14.62
3,518.67,642.98,1583.29,1405.94,14.62
3,518.67,642.48,1588.21,1402.77,14.62
3,518.67,642.92,1592.41,1403.14,14.62
3,518.67,642.25,1583.83,1401.73,14.62
3,518.67,642.65,1584.14,1400.61,14.62
3,518.67,642.5,1590.74,1408.52,14.62
3,518.67,642.46,1588.4,1407.81,14.62
3,518.67,642.22,1588.97,1400.56,14.62
3,518.67,642.62,1591.56,1407.84,14.62
3,518.67,642.76,1587.74,1402.28,14.62
3,518.67,642.26,1590.05,1408.53,14.62
3,518.67,642,1588.1,1398.22,14.62
3,518.67,642.6,1585.58,1408.79,14.62
3,518.67,642.27,1585.86,1413.79,14.62
3,518.67,642.72,1586.83,1406.06,14.62
3,518.67,642.49,1594.72,1408.04,14.62
3,518.67,642,1588.41,1405.29,14.62
3,518.67,642.82,1580.5,1405.04,14.62
3,518.67,642.76,1583.13,1409.96,14.62
3,518.67,642.67,1593.61,1395.95,14.62
3,518.67,642.22,1592.24,1409.32,14.62
3,518.67,643.1,1597.5,1405.91,14.62
3,518.67,642.57,1584.08,1410.11,14.62
3,518.67,642.5,1589.91,1406.13,14.62
3,518.67,642.35,1592.88,1408.51,14.62
3,518.67,642.62,1589.14,1409.48,14.62
3,518.67,642.45,1586.99,1406.61,14.62
3,518.67,642.52,1588.65,1407.5,14.62
3,518.67,642.6,1592.25,1405.41,14.62
3,518.67,642.75,1589.57,1409.77,14.62
3,518.67,642.3,1599.56,1407.3,14.62
3,518.67,643.08,1594.87,1415.14,14.62
3,518.67,642.87,1589.67,1414.46,14.62
3,518.67,643.08,1584.87,1412.02,14.62
3,518.67,643.03,1587.35,1413.05,14.62
3,518.67,642.48,1594.94,1402.45,14.62
3,518.67,642.48,1593.19,1416.18,14.62
3,518.67,642.65,1591.66,1403.51,14.62
3,518.67,643.71,1589.2,1413.64,14.62
3,518.67,643.07,1590.59,1411.55,14.62
3,518.67,642.69,1589.28,1421.05,14.62
3,518.67,643.26,1594.66,1414.51,14.62
3,518.67,643.08,1591.34,1407.58,14.62
3,518.67,643.04,1594.47,1420.87,14.62
3,518.67,643.34,1599.53,1411.65,14.62
3,518.67,642.89,1594.75,1416.95,14.62
3,518.67,643.15,1599.04,1414.53,14.62
3,518.67,642.83,1588.51,1413.92,14.62
3,518.67,643.52,1597.3,1411.91,14.62
3,518.67,642.84,1599.31,1414.01,14.62
3,518.67,643.19,1593.16,1421.83,14.62
3,518.67,642.71,1597.8,1415.2,14.62
3,518.67,642.48,1595.61,1415.88,14.62
3,518.67,643.6,1594.41,1416.4,14.62
3,518.67,643.11,1594.78,1420.33,14.62
3,518.67,643,1597.51,1422.22,14.62
3,518.67,643.09,1601.99,1416.56,14.62
3,518.67,642.96,1601.94,1416.31,14.62
3,518.67,642.9,1598.82,1419.27,14.62
3,518.67,643.38,1605.41,1415.96,14.62
3,518.67,643.46,1593.72,1422.59,14.62
3,518.67,643.55,1602.9,1424.39,14.62
3,518.67,643.35,1606.1,1428.52,14.62
3,518.67,643.36,1603.48,1419.33,14.62
3,518.67,643.62,1597.73,1426.38,14.62
3,518.67,643.64,1604.78,1417.29,14.62
3,518.67,643.46,1602.86,1424.79,14.62
3,518.67,643.15,1603.74,1424.17,14.62
3,518.67,643.93,1595.61,1438.51,14.62
3,518.67,643.68,1601.21,1423.5,14.62
3,518.67,643.66,1606.5,1430.55,14.62
3,518.67,643.51,1604.8,1428.23,14.62
